TalentID,Branch,Slot,SPReq,TalentReq,Tier,Name,Note,MaxLevel,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,C0,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,BonusTypeA,A0,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,BonusTypeB,B0,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24,B25,BonusTypeC,BonusAmountC
TapDmg,BranchRed,0,0,None,I,Knight's Valor,Increased tap damage,25,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1,2,2,3,3,3,4,5,5,6,7,8,9,11,12,14,16,19,22,25,28,33,38,43,50,-,TapDamage,0,1.20E+00,1.71E+00,2.43E+00,3.82E+00,6.02E+00,9.47E+00,1.64E+01,3.14E+01,6.01E+01,1.26E+02,2.90E+02,7.28E+02,2.00E+03,6.49E+03,2.29E+04,9.48E+04,4.59E+05,2.79E+06,2.11E+07,1.97E+08,2.27E+09,3.65E+10,8.15E+11,2.50E+13,1.19E+15,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,0
TapDmgFromHelpers,BranchRed,1,3,TapDmg,II,Chivalric Order,Increased tap damage from heroes,25,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,1,2,2,3,3,3,4,5,5,6,7,8,9,11,12,14,16,19,22,25,28,33,38,43,50,-,TapDamageFromHelpers,0,0.0004,0.0006,0.0010,0.0017,0.0028,0.0046,0.0082,0.0154,0.0291,0.0582,0.1237,0.2797,0.6728,1.8343,5.33E+00,1.76E+01,6.61E+01,3.03E+02,1.70E+03,1.17E+04,9.96E+04,1.21E+06,2.13E+07,5.47E+08,2.42E+10,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,0
PetDmg,BranchRed,2,3,TapDmg,II,Pet Evolution,Increased pet damage,25,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,1,2,2,3,3,3,4,5,5,6,7,8,9,11,12,14,16,19,22,25,28,33,38,43,50,-,PetDamage,0,1.50E+00,2.21E+00,3.24E+00,5.26E+00,8.52E+00,1.38E+01,2.46E+01,4.83E+01,9.46E+01,2.03E+02,4.78E+02,1.23E+03,3.44E+03,1.14E+04,4.13E+04,1.76E+05,8.77E+05,5.53E+06,4.38E+07,4.33E+08,5.32E+09,9.33E+10,2.31E+12,8.07E+13,4.50E+15,PetTapCountToAttack,0,0,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,11,12,13,14,15,None,0
PetGoldQTE,BranchRed,3,3,TapDmg,II,Heart of Midas,Give multiple of monster gold drop QTE,25,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,1,2,2,3,3,3,4,5,5,6,7,8,9,11,12,14,16,19,22,25,28,33,38,43,50,-,PetGoldQTEAmount,0,4.00E+00,1.13E+01,2.48E+01,5.43E+01,1.14E+02,2.35E+02,5.28E+02,1.29E+03,3.17E+03,8.51E+03,2.50E+04,8.00E+04,2.79E+05,1.16E+06,5.20E+06,2.75E+07,1.70E+08,1.33E+09,1.30E+10,1.57E+11,2.37E+12,5.03E+13,1.50E+15,6.20E+16,4.04E+18,PetGoldQTECooldown,0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,20,22,24,26,28,30,None,0
HeavyStrikes,BranchRed,4,20,TapDmgFromHelpers,III,Cleaving Strike,Increased max critical damage,25,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,2,2,3,3,3,4,5,5,6,7,8,9,11,12,14,16,19,22,25,28,33,38,43,50,57,-,CritMaxDamage,0,1.60E+00,2.38E+00,3.93E+00,6.48E+00,1.07E+01,1.95E+01,3.94E+01,7.94E+01,1.76E+02,4.31E+02,1.15E+03,3.39E+03,1.19E+04,4.58E+04,2.09E+05,1.13E+06,7.75E+06,6.77E+07,7.45E+08,1.03E+10,2.05E+11,5.87E+12,2.39E+14,1.57E+16,1.67E+18,CritChance,0,-0.01,-0.02,-0.03,-0.04,-0.05,-0.06,-0.07,-0.08,-0.09,-0.1,-0.11,-0.12,-0.13,-0.14,-0.15,-0.16,-0.17,-0.18,-0.19,-0.2,-0.21,-0.22,-0.23,-0.24,-0.25,None,0
FireTapSkillBoost,BranchRed,5,20,PetDmg,III,Summon Inferno,Increased Fire Sword damage,25,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,2,2,3,3,3,4,5,5,6,7,8,9,11,12,14,16,19,22,25,28,33,38,43,50,57,-,TapBoostSkillAmount,0,1.60E+00,2.37E+00,3.89E+00,6.38E+00,1.05E+01,1.90E+01,3.79E+01,7.56E+01,1.66E+02,4.01E+02,1.06E+03,3.06E+03,1.06E+04,3.98E+04,1.77E+05,9.31E+05,6.23E+06,5.26E+07,5.59E+08,7.42E+09,1.42E+11,3.87E+12,1.49E+14,9.32E+15,9.32E+17,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,0
PetQTE,BranchRed,6,20,PetGoldQTE,III,Lightning Burst,Increased pet QTE damage / Pet splash count,25,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,2,2,3,3,3,4,5,5,6,7,8,9,11,12,14,16,19,22,25,28,33,38,43,50,57,-,PetAttackQTEDamage,0,1.50E+00,2.14E+00,3.39E+00,5.36E+00,8.48E+00,1.48E+01,2.87E+01,5.56E+01,1.19E+02,2.79E+02,7.19E+02,2.04E+03,6.92E+03,2.57E+04,1.13E+05,5.95E+05,4.01E+06,3.44E+07,3.75E+08,5.15E+09,1.04E+11,3.04E+12,1.28E+14,8.99E+15,1.04E+18,PetAttackQTESplashCount,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,None,0
Frenzy,BranchRed,7,50,HeavyStrikes,IV,Barbaric Fury,Bonus tap attacks per second / increased tap damage,15,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-,-,-,-,-,-,-,-,-,-,3,4,5,7,9,12,16,21,27,35,46,60,78,101,131,-,-,-,-,-,-,-,-,-,-,-,ActiveTapDamage,0,2.50E+00,6.19E+00,1.77E+01,6.66E+01,3.25E+02,2.28E+03,2.51E+04,4.63E+05,1.53E+07,1.04E+09,1.80E+11,9.62E+13,2.09E+17,2.63E+21,3.21E+26,-,-,-,-,-,-,-,-,-,-,FrenzyCount,0,1,2,3,4,5,6,8,10,12,15,18,21,24,27,30,-,-,-,-,-,-,-,-,-,-,None,0
BossDmgQTE,BranchRed,9,50,PetQTE,IV,Flash Zip,Pet Boss damage QTE,15,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-,-,-,-,-,-,-,-,-,-,3,4,5,7,9,12,16,21,27,35,46,60,78,101,131,-,-,-,-,-,-,-,-,-,-,-,PetBossQTEDamage,0,2.00E+00,5.07E+00,1.49E+01,5.84E+01,2.98E+02,2.22E+03,2.63E+04,5.29E+05,1.94E+07,1.48E+09,2.95E+11,1.86E+14,4.85E+17,7.48E+21,1.15E+27,-,-,-,-,-,-,-,-,-,-,PetQTECooldownMult,0,0.965,0.930,0.895,0.860,0.825,0.790,0.755,0.720,0.685,0.650,0.615,0.580,0.545,0.510,0.475,-,-,-,-,-,-,-,-,-,-,PetBossQTEDuration,30
AllHelperDmg,BranchYellow,0,0,None,I,Master Commander,Increased damge to all hero types,25,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1,2,2,3,3,3,4,5,5,6,7,8,9,11,12,14,16,19,22,25,28,33,38,43,50,-,AllHelperDamage,0,1.20E+00,1.71E+00,2.43E+00,3.82E+00,6.02E+00,9.47E+00,1.64E+01,3.14E+01,6.01E+01,1.26E+02,2.90E+02,7.28E+02,2.00E+03,6.49E+03,2.29E+04,9.48E+04,4.59E+05,2.79E+06,2.11E+07,1.97E+08,2.27E+09,3.65E+10,8.15E+11,2.50E+13,1.19E+15,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,0
ChestGold,BranchYellow,1,3,AllHelperDmg,II,Spoils of War,Boost to chesterson gold / chesterton chance,25,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,1,2,2,3,3,3,4,5,5,6,7,8,9,11,12,14,16,19,22,25,28,33,38,43,50,-,ChestAmount,0,1.80E+00,2.98E+00,4.93E+00,9.16E+00,1.70E+01,3.16E+01,6.57E+01,1.52E+02,3.53E+02,9.10E+02,2.60E+03,8.24E+03,2.88E+04,1.22E+05,5.71E+05,3.20E+06,2.15E+07,1.86E+08,2.08E+09,2.98E+10,5.39E+11,1.44E+13,5.58E+14,3.14E+16,2.92E+18,ChestChance,0,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,0.1,0.11,0.12,0.13,0.14,0.15,0.16,0.17,0.18,0.19,0.2,0.21,0.22,0.23,0.24,0.25,None,0
HelperDmgSkillBoost,BranchYellow,2,3,AllHelperDmg,II,Heroic Might,War Cry damage / Inspired Hero count,25,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,1,2,2,3,3,3,4,5,5,6,7,8,9,11,12,14,16,19,22,25,28,33,38,43,50,-,InspiredHelperDamage,0,1.50E+00,2.13E+00,3.04E+00,4.79E+00,7.55E+00,1.19E+01,2.07E+01,3.97E+01,7.61E+01,1.60E+02,3.71E+02,9.39E+02,2.60E+03,8.55E+03,3.07E+04,1.30E+05,6.45E+05,4.06E+06,3.21E+07,3.18E+08,3.92E+09,6.90E+10,1.72E+12,6.07E+13,3.43E+15,InspiredHelperCount,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,None,0
